industry_code	naics_code	publishing_status	industry_name	display_level	selectable	sort_sequence
31336370	33637	G	Motor vehicle metal stamping	6	T	190
31336390	33634,9	C	All other motor vehicle parts	6	T	191
31336400	3364	AO	Aerospace products and parts	5	T	192
31336411	336411	D	Aircraft	7	T	193
31336412	336412	C	Aircraft engines and engine parts	7	T	194
31336413	336413	C	Other aircraft parts and equipment	7	T	195
31336419	336414,5,9	C	Guided missiles, space vehicles, and parts	7	T	196
31336600	3366	C	Ship and boat building	5	T	197
31336611	336611	C	Ship building and repairing	7	T	198
31336612	336612	C	Boat building	7	T	199
31336900	3365,9	C	Railroad rolling stock and other transportation equipment	5	T	200
31337000	337	AO	Furniture and related products	4	T	201
31337100	3371	AO	Household and institutional furniture	5	T	202
31337110	33711	AO	Wood kitchen cabinets and countertops	6	T	203
31337120	33712	AO	Other household and institutional furniture	6	T	204
31337121	337121	AT	Upholstered household furniture	7	T	205
31337122	337122	C	Nonupholstered wood household furniture	7	T	206
31337127	337124,5,7	C	Miscellaneous household and institutional furniture	7	T	207
31337200	3372	C	Office furniture and fixtures	5	T	208
31337214	337211,2,4	C	Office furniture and custom architectural woodwork and millwork	7	T	209
31337215	337215	C	Showcases, partitions, shelving, and lockers	7	T	210
31337900	3379	C	Other furniture-related products	5	T	211
31339000	339	AO	Miscellaneous durable goods manufacturing	4	T	212
31339100	3391	AO	Medical equipment and supplies	5	T	213
31339112	339112	C	Surgical and medical instruments	7	T	214
31339113	339113	AT	Surgical appliances and supplies	7	T	215
31339116	339116	A	Dental laboratories	7	T	216
31339900	3399	AO	Other miscellaneous durable goods manufacturing	5	T	217
31339910	33991	C	Jewelry and silverware	6	T	218
31339920	33992	C	Sporting and athletic goods	6	T	219
31339950	33995	AO	Signs	6	T	220
31339990	33993,4,9	AO	All other miscellaneous durable goods manufacturing	6	T	221
32000000	-	AO	Nondurable goods	3	T	222
32311000	311	AO	Food manufacturing	4	T	223
32311100	3111	C	Animal food	5	T	224
32311200	3112	C	Grain and oilseed milling	5	T	225
32311220	31121,2	C	Flour milling, malt, starch, and vegetable oil	6	T	226
32311230	31123	C	Breakfast cereal	6	T	227
32311300	3113	AT	Sugar and confectionery products	5	T	228
32311350	31135	C	Chocolate and confectionery manufacturing	6	T	229
32311400	3114	AO	Fruit and vegetable preserving and specialty	5	T	230
32311410	31141	ET	Frozen food	6	T	231
32311411	311411	C	Frozen fruits and vegetables	7	T	232
32311412	311412	C	Frozen specialty food	7	T	233
32311420	31142	ET	Fruit and vegetable canning and drying	6	T	234
32311500	3115	AO	Dairy products	5	T	235
32311511	311511	C	Fluid milk	7	T	236
32311600	3116	AO	Animal slaughtering and processing	5	T	237
32311611	311611	B	Animal, except poultry, slaughtering	7	T	238
32311613	311612,3	B	Meat processed from carcasses, and rendering and meat byproduct processing	7	T	239
32311615	311615	AO	Poultry processing	7	T	240
32311700	3117	ET	Seafood product preparation and packaging	5	T	241
32311800	3118	AO	Bakeries and tortilla manufacturing	5	T	242
32311810	31181	E	Bread and bakery products	6	T	243
32311811	311811	E	Retail bakeries	7	T	244
32311813	311812,3	E	Commercial bakeries and frozen cakes and other pastry products	7	T	245
32311830	31182,3	E	Cookies, crackers, pasta, and tortillas	6	T	246
32311900	3119	ET	Other food products	5	T	247
32311910	31191	C	Snack food	6	T	248
32311990	31192,3,4,9	C	Miscellaneous food products	6	T	249
32313000	313	AO	Textile mills	4	T	250
32313200	3132	B	Fabric mills	5	T	251
32314000	314	AO	Textile product mills	4	T	252
32314100	3141	B	Textile furnishings mills	5	T	253
32314900	3149	B	Other textile product mills	5	T	254
32314910	31491	C	Textile bag and canvas mills	6	T	255
32314990	31499	C	All other textile product mills	6	T	256
32315000	315	AO	Apparel	4	T	257
32315200	3152	C	Cut and sew apparel	5	T	258
32315210	31521	C	Cut and sew apparel contractors	6	T	259
32315280	31522,4,8	C	Cut and sew apparel, except contractors	6	T	260
32315900	3151,9	C	All other apparel manufacturing	5	T	261
32322000	322	AO	Paper and paper products	4	T	262
32322100	3221	E	Pulp, paper, and paperboard mills	5	T	263
32322120	32211,2	C	Pulp mills and paper mills	6	T	264
32322130	32213	C	Paperboard mills	6	T	265
32322200	3222	E	Converted paper products	5	T	266
32322210	32221	AO	Paperboard containers	6	T	267
32322211	322211	AO	Corrugated and solid fiber boxes	7	T	268
32322219	322212,9	C	Folding boxes and miscellaneous paperboard containers	7	T	269
32322220	32222	C	Paper bags and coated and treated paper	6	T	270
32322290	32223,9	C	Stationery and other converted paper products	6	T	271
32323000	323	AO	Printing and related support activities	4	T	272
32323117	323111,7	C	Commercial printing, except screen	7	T	273
32324000	324	AO	Petroleum and coal products	4	T	274
32324110	32411	B	Petroleum refineries	6	T	275
32324190	32412,9	B	Asphalt paving and roofing materials and other petroleum and coal products	6	T	276
32325000	325	AO	Chemicals	4	T	277
32325100	3251	AO	Basic chemicals	5	T	278
32325130	32511,2,3	C	Petrochemicals, industrial gases, synthetic dyes, and pigments	6	T	279
32325180	32518	C	Other basic inorganic chemicals	6	T	280
32325190	32519	C	Other basic organic chemicals	6	T	281
32325200	3252	E	Resin, rubber, and artificial fibers	5	T	282
32325211	325211	C	Plastics material and resin	7	T	283
32325300	3253	C	Agricultural chemicals	5	T	284
32325400	3254	AO	Pharmaceuticals and medicines	5	T	285
32325412	325412	C	Pharmaceutical preparations	7	T	286
32325414	325411,3,4	C	Miscellaneous medicinal and biological products	7	T	287
32325500	3255	C	Paints, coatings, and adhesives	5	T	288
32325600	3256	AO	Soaps, cleaning compounds, and toiletries	5	T	289
32325610	32561	C	Soaps and cleaning compounds	6	T	290
32325620	32562	C	Toilet preparations	6	T	291
32325900	3259	ET	Other chemical products and preparations	5	T	292
32326000	326	AO	Plastics and rubber products	4	T	293
32326100	3261	AO	Plastics products	5	T	294
32326110	32611	AO	Plastics packaging materials, film, and sheet	6	T	295
32326113	326113	C	Nonpackaging plastics film and sheet	7	T	296
32326120	32612	C	Plastics pipe, fittings, and profile shapes	6	T	297
32326150	32614,5	AO	Foam products	6	T	298
32326160	32613,6	C	Plastics bottles and laminated plastics plate, sheet, and shapes	6	T	299
32326190	32619	AO	Other plastics products	6	T	300
32326200	3262	AO	Rubber products	5	T	301
32326210	32621	C	Tires	6	T	302
32326290	32622,9	C	All other rubber products	6	T	303
32329000	312,6	AO	Miscellaneous nondurable goods manufacturing	4	T	304
32329100	3121	C	Beverages	5	T	305
32329110	31211	C	Soft drinks and ice	6	T	306
32329111	312111	C	Soft drinks	7	T	307
32329140	31212,3,4	C	Breweries, wineries, and distilleries	6	T	308
32329900	3122,60	C	Other miscellaneous nondurable goods manufacturing	5	T	309
40000000	-	A	Trade, transportation, and utilities	2	T	310
41420000	42	A	Wholesale trade	3	T	311
41423000	423	A	Durable goods	4	T	312
41423100	4231	A	Motor vehicles and parts	5	T	313
41423110	42311	A	Motor vehicles	6	T	314
41423120	42312	A	New motor vehicle parts	6	T	315
41423200	4232	A	Furniture and furnishings	5	T	316
41423210	42321	C	Furniture	6	T	317
41423220	42322	C	Home furnishings	6	T	318
41423300	4233	A	Lumber and construction supplies	5	T	319
41423310	42331	A	Lumber and wood	6	T	320
41423320	42332	E	Masonry materials	6	T	321
41423390	42333,9	E	Roofing, siding, and other construction materials	6	T	322
41423400	4234	A	Commercial equipment	5	T	323
41423420	42342	A	Office equipment	6	T	324
41423430	42343	A	Computer and software	6	T	325
41423450	42345	A	Medical equipment	6	T	326
41423490	42341,4,6,9	A	Miscellaneous professional and commercial equipment	6	T	327
41423500	4235	A	Metals and minerals	5	T	328
41423600	4236	A	Electric goods	5	T	329
41423610	42361	A	Electrical equipment and wiring	6	T	330
41423690	42362,9	A	Electric appliances and other electronic parts	6	T	331
41423700	4237	A	Hardware and plumbing	5	T	332
41423710	42371	A	Hardware	6	T	333
41423720	42372	A	Plumbing equipment	6	T	334
41423740	42373,4	A	HVAC and refrigeration equipment	6	T	335
41423800	4238	A	Machinery and supplies	5	T	336
41423810	42381	A	Construction equipment	6	T	337
41423820	42382	A	Farm and garden equipment	6	T	338
41423830	42383	A	Industrial machinery	6	T	339
41423840	42384	A	Industrial supplies	6	T	340
41423850	42385	G	Service establishment equipment	6	T	341
41423860	42386	G	Other transportation goods	6	T	342
41423900	4239	A	Miscellaneous durable goods	5	T	343
41423910	42391	A	Sporting goods	6	T	344
41423930	42393	A	Recyclable materials	6	T	345
41423940	42394	E	Jewelry	6	T	346
41423990	42392,9	E	Toy, hobby, and other durable goods	6	T	347
41424000	424	A	Nondurable goods	4	T	348
41424100	4241	A	Paper and paper products	5	T	349
41424120	42411,2	B	Printing and writing paper and office supplies	6	T	350
41424130	42413	B	Industrial paper	6	T	351
41424200	4242	A	Druggists' goods	5	T	352
41424300	4243	A	Apparel and piece goods	5	T	353
41424330	42433	C	Women's and children's clothing	6	T	354
41424400	4244	A	Grocery and related products	5	T	355
41424410	42441	A	General line grocery	6	T	356
41424480	42448	A	Fruits and vegetables	6	T	357
41424500	4245	A	Farm product raw materials	5	T	358
41424510	42451	E	Grains and field beans	6	T	359
41424600	4246	A	Chemicals	5	T	360
41424700	4247	A	Petroleum	5	T	361
41424800	4248	A	Alcoholic beverages	5	T	362
41424810	42481	C	Beer and ale	6	T	363
41424820	42482	C	Wine and spirits	6	T	364
41424900	4249	A	Misc. nondurable goods	5	T	365
41424910	42491	A	Farm supplies	6	T	366
41424920	42492	C	Books and periodicals	6	T	367
41424930	42493	A	Nursery stock and florists' supplies	6	T	368
41424990	42494,5,9	C	All other nondurable goods wholesalers	6	T	369
41425000	425	A	Electronic markets and agents and brokers	4	T	370
41425110	42511	E	Business to business electronic markets	6	T	371
41425120	42512	E	Wholesale trade agents and brokers	6	T	372
42000000	-	A	Retail trade	3	T	373
42441000	441	A	Motor vehicle and parts dealers	4	T	374
42441100	4411	A	Automobile dealers	5	T	375
42441110	44111	A	New car dealers	6	T	376
42441120	44112	A	Used car dealers	6	T	377
42441200	4412	A	Other motor vehicle dealers	5	T	378
42441210	44121	C	Recreational vehicle dealers	6	T	379
42441220	44122	C	Motorcycle, boat, and other vehicle dealers	6	T	380
42441300	4413	A	Auto parts, accessories, and tire stores	5	T	381
42441310	44131	A	Automotive parts and accessories stores	6	T	382
42441320	44132	A	Tire dealers	6	T	383
42442000	442	A	Furniture and home furnishings stores	4	T	384
42442100	4421	A	Furniture stores	5	T	385
42442200	4422	A	Home furnishings stores	5	T	386
42442210	44221	A	Floor covering stores	6	T	387
42442290	44229	A	Other home furnishings stores	6	T	388
42443000	443	A	Electronics and appliance stores	4	T	389
42443141	443141	A	Household appliance stores	7	T	390
42443142	443142	A	Electronics stores	7	T	391
42444000	444	A	Building material and garden supply stores	4	T	392
42444100	4441	A	Building material and supplies dealers	5	T	393
42444110	44411	G	Home centers	6	T	394
42444120	44412	C	Paint and wallpaper stores	6	T	395
42444130	44413	A	Hardware stores	6	T	396
42444190	44419	C	Other building material dealers	6	T	397
42444200	4442	A	Lawn and garden equipment and supplies stores	5	T	398
42444210	44421	E	Outdoor power equipment stores	6	T	399
42444220	44422	E	Nursery, garden, and farm supply stores	6	T	400
42445000	445	A	Food and beverage stores	4	T	401
42445100	4451	A	Grocery stores	5	T	402
42445110	44511	A	Supermarkets and other grocery stores	6	T	403
42445120	44512	A	Convenience stores	6	T	404
42445200	4452	A	Specialty food stores	5	T	405
42445220	44521,2	A	Meat markets and fish and seafood markets	6	T	406
42445230	44523	C	Fruit and vegetable markets	6	T	407
42445290	44529	C	Other specialty food stores	6	T	408
42445300	4453	A	Beer, wine, and liquor stores	5	T	409
42446000	446	A	Health and personal care stores	4	T	410
42446110	44611	A	Pharmacies and drug stores	6	T	411
42446120	44612	A	Cosmetic and beauty supply stores	6	T	412
42446130	44613	A	Optical goods stores	6	T	413
42446190	44619	A	Other health and personal care stores	6	T	414
42446191	446191	C	Food (health) supplement stores	7	T	415
42446199	446199	C	All other health and personal care stores	7	T	416
42447000	447	A	Gasoline stations	4	T	417
42447110	44711	A	Gasoline stations with convenience stores	6	T	418
42447190	44719	A	Other gasoline stations	6	T	419
42448000	448	A	Clothing and clothing accessories stores	4	T	420
42448100	4481	A	Clothing stores	5	T	421
42448110	44811	E	Men's clothing stores	6	T	422
42448120	44812	A	Women's clothing stores	6	T	423
42448130	44813	C	Children's and infants' clothing stores	6	T	424
42448140	44814	A	Family clothing stores	6	T	425
42448150	44815	E	Clothing accessories stores	6	T	426
42448190	44819	C	Other clothing stores	6	T	427
42448200	4482	A	Shoe stores	5	T	428
42448300	4483	A	Jewelry, luggage, and leather goods stores	5	T	429
42451000	451	A	Sporting goods, hobby, book, and music stores	4	T	430
42451100	4511	A	Sporting goods and musical instrument stores	5	T	431
42451110	45111	A	Sporting goods stores	6	T	432
42451120	45112	E	Hobby, toy, and game stores	6	T	433
42451130	45113	C	Sewing, needlework, and piece goods stores	6	T	434
42451140	45114	C	Musical instrument and supplies stores	6	T	435
42451200	4512	A	Book stores and news dealers	5	T	436
42452000	452	A	General merchandise stores	4	T	437
42452200	4522	C	Department stores	5	T	438
42452300	4523	C	General merchandise stores, including warehouse clubs and supercenters	5	T	439
42452311	452311	C	Warehouse clubs and supercenters	7	T	440
42452319	452319	C	All other general merchandise stores	7	T	441
42453000	453	A	Miscellaneous store retailers	4	T	442
42453100	4531	A	Florists	5	T	443
42453200	4532	A	Office supplies, stationery, and gift stores	5	T	444
42453210	45321	A	Office supplies and stationery stores	6	T	445
42453220	45322	A	Gift, novelty, and souvenir stores	6	T	446
42453300	4533	A	Used merchandise stores	5	T	447
42453900	4539	A	Other miscellaneous store retailers	5	T	448
42453910	45391	A	Pet and pet supplies stores	6	T	449
42453920	45392	C	Art dealers	6	T	450
42453990	45393,9	C	All other miscellaneous store retailers	6	T	451
42454000	454	A	Nonstore retailers	4	T	452
42454100	4541	A	Electronic shopping and mail-order houses	5	T	453
42454200	4542	B	Vending machine operators	5	T	454
42454300	4543	B	Direct selling establishments	5	T	455
42454310	45431	B	Fuel dealers	6	T	456
42454390	45439	B	Other direct selling establishments	6	T	457
43000000	-	A	Transportation and warehousing	3	T	458
43481000	481	A	Air transportation	4	T	459
43481100	4811	C	Scheduled air transportation	5	T	460
43481200	4812	C	Nonscheduled air transportation	5	T	461
43482000	482	C	Rail transportation	4	T	462
43483000	483	B	Water transportation	4	T	463
43484000	484	A	Truck transportation	4	T	464
43484100	4841	A	General freight trucking	5	T	465
43484110	48411	A	General freight trucking, local	6	T	466
43484120	48412	A	General freight trucking, long-distance	6	T	467
43484121	484121	A	General freight trucking, long-distance TL	7	T	468
43484122	484122	A	General freight trucking, long-distance LTL	7	T	469
43484200	4842	A	Specialized freight trucking	5	T	470
43484210	48421	A	Used household and office goods moving	6	T	471
43484220	48422	A	Other specialized trucking, local	6	T	472
43484230	48423	A	Other specialized trucking, long-distance	6	T	473
43485000	485	A	Transit and ground passenger transportation	4	T	474
43485300	4853	B	Taxi and limousine service	5	T	475
43485310	48531	C	Taxi service	6	T	476
43485320	48532	C	Limousine service	6	T	477
43485400	4854	A	School and employee bus transportation	5	T	478
43485500	4851,2,5	C	Urban, interurban, rural, and charter bus transportation	5	T	479
43485900	4859	A	Other ground passenger transportation	5	T	480
43486000	486	B	Pipeline transportation	4	T	481
43487000	487	B	Scenic and sightseeing transportation	4	T	482
43488000	488	A	Support activities for transportation	4	T	483
43488100	4881	A	Support activities for air transportation	5	T	484
43488110	48811	A	Airport operations	6	T	485
43488300	4883	A	Support activities for water transportation	5	T	486
43488320	48832	C	Marine cargo handling	6	T	487
43488390	48831,3,9	C	Support activities for water transportation, except marine cargo	6	T	488
43488400	4884	A	Support activities for road transportation	5	T	489
43488500	4885	A	Freight transportation arrangement	5	T	490
43488900	4882,9	A	Support activities for other transportation, including rail	5	T	491
43492000	492	A	Couriers and messengers	4	T	492
43492100	4921	C	Couriers and express delivery services	5	T	493
43492200	49111,221	C	Local messengers and delivery and private postal service	6	T	494
43493000	493	A	Warehousing and storage	4	T	495
43493110	49311	A	General warehousing and storage	6	T	496
43493120	49312	E	Refrigerated warehousing and storage	6	T	497
43493190	49313,9	E	Miscellaneous warehousing and storage	6	T	498
44220000	22	A	Utilities	3	T	499
44221100	2211	A	Power generation and supply	5	T	500
44221110	22111	A	Electric power generation	6	T	501
44221112	221112	A	Fossil fuel electric power generation	7	T	502
44221118	221111,3-8	C	Nuclear and other electric power generation	7	T	503
44221120	22112	A	Electric power transmission and distribution	6	T	504
44221121	221121	C	Electric bulk power transmission and control	7	T	505
44221122	221122	C	Electric power distribution	7	T	506
44221200	2212	A	Natural gas distribution	5	T	507
44221300	2213	A	Water, sewage and other systems	5	T	508
50000000	51	A	Information	2	T	509
50511000	511	A	Publishing industries, except Internet	4	T	510
50511100	5111	A	Newspaper, book, and directory publishers	5	T	511
50511110	51111	A	Newspaper publishers	6	T	512
50511120	51112	A	Periodical publishers	6	T	513
50511130	51113	E	Book publishers	6	T	514
50511190	51114,9	C	Directory, mailing list, and other publishers	6	T	515
50511200	5112	A	Software publishers	5	T	516
50512000	512	A	Motion picture and sound recording industries	4	T	517
50512110	51211	C	Motion picture and video production	6	T	518
50512130	51213	C	Motion picture and video exhibition	6	T	519
50515000	515	A	Broadcasting, except Internet	4	T	520
50515100	5151	C	Radio and television broadcasting	5	T	521
50515110	51511	A	Radio broadcasting	6	T	522
50515120	51512	C	Television broadcasting	6	T	523
50515200	5152	C	Cable and other subscription programming	5	T	524
50517000	517	A	Telecommunications	4	T	525
50517300	5173	A	Wired and wireless telecommunications carriers	5	T	526
50517311	517311	E	Wired telecommunications carriers	7	T	527
50517312	517312	E	Wireless telecommunications carriers, except satellite	7	T	528
